,code,title,year,ratings_avg,nations,genres
0,md76rkk,스파이더맨: 뉴 유니버스,2018,8.37691731501515,미국,"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
1,md76rkk,스파이더맨: 뉴 유니버스,2018,8.37691731501515,미국,"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
2,mdRLwlv,컨택트,2016,7.928592422966238,미국,"['미스터리', 'SF', '스릴러', '드라마']"
3,tRa3Q0l,오란고교 사교클럽,2006,8.67687320650441,일본,"['로맨스', '애니메이션']"
4,m5XMArN,바닷마을 다이어리,2015,7.687134574335579,일본,"['가족', '드라마']"
5,tlnN6J1,귀멸의 칼날: 도공 마을편,2023,8.85777381407398,일본,"['애니메이션', '액션', '판타지', '스릴러']"
6,m6dRLWy,타짜,2006,8.332660040465695,한국,['드라마']
7,mOgBDaW,펄프 픽션,1994,8.049692656483371,미국,"['범죄', '드라마']"
8,m2WyDM5,에이 아이,2001,7.998250792070914,미국,"['모험', 'SF', '판타지', '드라마']"
9,tRw554l,미란다 시즌 1,2009,8.476937535375972,영국,"['로맨스', '코미디', '시트콤', 'TV드라마']"
10,tlObYNX,이직의 마왕님,2023,7.413173652694611,일본,"['드라마', 'TV드라마']"
11,tlGNBv7,스파이 패밀리,2022,8.400303132367801,일본,"['애니메이션', '액션', '코미디', '드라마', '로맨틱 코미디']"
12,mObGGj7,베테랑,2014,8.026262600795862,한국,"['액션', '드라마', '범죄']"
13,m1WwY4d,시네마 천국,1988,8.55551154069614,이탈리아,['드라마']
14,mOoepm5,호빗: 스마우그의 폐허,2013,7.713475295569378,뉴질랜드,"['모험', '판타지']"
15,tRp4vN6,스킵과 로퍼,2023,8.87375873482898,일본,"['애니메이션', '로맨스']"
16,mdjawmz,서치,2018,7.758212704562349,미국,"['드라마', '미스터리', '스릴러']"
17,mWv1lb5,범죄와의 전쟁 : 나쁜놈들 전성시대,2012,8.054031524238987,한국,"['액션', '범죄', '드라마']"
18,mdBzxzd,12명의 성난 사람들,1957,8.54487035693079,미국,"['범죄', '드라마']"
19,tPJZKMp,"이쪽을 봐줘, 무카이군",2023,7.910621761658031,일본,"['로맨스', '코미디', '로맨틱 코미디', 'TV드라마']"
20,tRXNpDl,나츠메 우인장 1기,2008,8.417498442257727,일본,['애니메이션']
21,m6dRLLW,"색, 계",2007,7.311009650688699,미국,"['드라마', '역사', '로맨스', '스릴러', '전쟁']"
22,mAd7vBO,아기공룡 둘리: 얼음별 대모험 리마스터링,1996,7.578338145652872,한국,"['애니메이션', '코미디', '가족', 'SF', '모험']"
23,mWw3EXX,애프터썬,2022,7.9164329594017095,영국,['드라마']
24,tR5wkZl,한니발 시즌 1: 완전판,2013,8.129277847586666,미국,"['범죄', '드라마', '공포', '미스터리', '스릴러', 'TV드라마']"
25,md7YyKB,나의 별에게,2021,8.266510538641686,한국,"['로맨스', 'BL']"
26,m5Goapn,옥수역귀신,2022,3.0025813113061437,한국,"['미스터리', '공포']"
27,tlAnxBw,준과 준,2023,8.145810663764962,한국,"['로맨스', 'BL', '코미디', 'TV드라마']"
28,tPj1AQg,블루밍,2022,8.096750369276219,한국,"['드라마', '로맨스', 'BL', 'TV드라마']"
29,tPrzZmW,이세계에서 치트 스킬을 얻은 나는 현실 세계에서도 무쌍한다 ~레벨업이 인생을 바꿨다~,2023,7.107066381156317,일본,"['애니메이션', '판타지', '액션', '모험']"
30,tlxkZan,라스트 맨 -전맹의 수사관-,2023,8.195624195624196,일본,"['드라마', '미스터리', 'TV드라마']"
31,tEqZ1Ap,소년을 위로해줘!,2023,8.353182751540041,한국,"['드라마', '로맨스', 'BL', 'TV드라마']"
32,tE6Y2DN,청설니희환아: 한번 더 사랑해줘,2023,7.890829694323144,중국,"['로맨스', 'TV드라마']"
33,mdj2w1N,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2022,7.997032640949555,일본,"['애니메이션', '로맨스', '코미디']"
34,tE15k20,펜션 메챠,2021,7.552674230145867,일본,"['드라마', 'TV드라마']"
